"Label","Location","Function Signature","Function Size"
"lua_atpanic","14c1d5120","undefined lua_atpanic()","19"
"lua_atpanic","141a10f10","thunk undefined lua_atpanic()","5"
"lua_atpanic","146c7d8e6","thunk undefined lua_atpanic()","5"
"lua_call","14c1d5690","undefined lua_call()","72"
"lua_call","141a10f30","thunk undefined lua_call()","5"
"lua_checkstack","14c1d5900","undefined lua_checkstack()","151"
"lua_checkstack","141a10f80","thunk undefined lua_checkstack()","5"
"lua_close","14c1fc380","undefined lua_close()","126"
"lua_close","141a16700","thunk undefined lua_close()","5"
"lua_concat","14c1d5d50","undefined lua_concat()","147"
"lua_concat","141a11020","thunk undefined lua_concat()","5"
"lua_cpcall","146c7dd00","int lua_cpcall(lua_State * L, lua_CFunction func, void * ud)","75"
"lua_cpcall","140bf3030","thunk int lua_cpcall(lua_State * L, lua_CFunction func, void * ud)","5"
"lua_createtable","14c1d6320","void lua_createtable(lua_State * L, int narr, int nrec)","103"
"lua_createtable","141a110f0","thunk void lua_createtable(lua_State * L, int narr, int nrec)","5"
"lua_dump","14c217460","undefined lua_dump(undefined param_1, undefined param_2, undefined param_3, undefined param_4, undefined4 param_5)","141"
"lua_dump","141a25070","thunk undefined lua_dump(undefined param_1, undefined param_2, undefined param_3, undefined param_4, undefined4 param_5)","5"
"lua_error","14c1d6c90","undefined lua_error()","16"
"lua_error","141a11210","thunk undefined lua_error()","5"
"lua_gc","141a11220","undefined lua_gc()","391"
"lua_getfenv","14c1d7160","undefined lua_getfenv()","113"
"lua_getfenv","141a113d0","thunk undefined lua_getfenv()","5"
"lua_getfield","14c1d7320","undefined lua_getfield()","102"
"lua_getfield","141a11450","thunk undefined lua_getfield()","5"
"lua_gethook","145bd7100","lua_Hook lua_gethook(lua_State * L)","5"
"lua_gethook","14085f1b0","thunk lua_Hook lua_gethook(lua_State * L)","5"
"lua_gethookcount","141a20e40","undefined lua_gethookcount()","4"
"lua_gethookmask","14c20f450","int lua_gethookmask(lua_State * L)","5"
"lua_gethookmask","141a20e50","thunk int lua_gethookmask(lua_State * L)","5"
"lua_getinfo","14c20f650","undefined lua_getinfo()","239"
"lua_getinfo","141a20e60","thunk undefined lua_getinfo()","5"
"lua_getlocal","14c20f880","undefined lua_getlocal()","107"
"lua_getlocal","141a20f50","thunk undefined lua_getlocal()","5"
"lua_getmetatable","14c1d79b0","undefined lua_getmetatable()","88"
"lua_getmetatable","141a114c0","thunk undefined lua_getmetatable()","5"
"lua_getstack","14c20fbd0","undefined lua_getstack()","122"
"lua_getstack","141a20fc0","thunk undefined lua_getstack()","5"
"lua_gettable","14c1d7c10","undefined lua_gettable()","38"
"lua_gettable","141a11520","thunk undefined lua_gettable()","5"
"lua_getupvalue","14c1d7ea0","undefined lua_getupvalue()","155"
"lua_getupvalue","141a11560","thunk undefined lua_getupvalue()","5"
"lua_insert","14c1d8150","undefined lua_insert()","88"
"lua_insert","141a11600","thunk undefined lua_insert()","5"
"lua_iscfunction","141a11650","undefined lua_iscfunction()","41"
"lua_isnumber","14c1d8c90","undefined lua_isnumber()","48"
"lua_isnumber","141a11680","thunk undefined lua_isnumber()","5"
"lua_isstring","14c1d9250","undefined lua_isstring()","49"
"lua_isstring","141a116b0","thunk undefined lua_isstring()","5"
"lua_lessthan","14c1d9890","undefined lua_lessthan()","74"
"lua_lessthan","141a11720","thunk undefined lua_lessthan()","5"
"lua_load","14c1d99c0","undefined lua_load()","70"
"lua_load","141a11770","thunk undefined lua_load()","5"
"lua_newstate","14c1fc960","lua_State * lua_newstate(lua_Alloc f, void * ud)","442"
