"Label","Location","Function Signature","Function Size"
"GetFreeRoamLangId","147a6b040","undefined GetFreeRoamLangId()","114"
"GetFreeRoamLangId","1409112b0","thunk undefined GetFreeRoamLangId()","5"
"lua_atpanic","14c9855b0","undefined lua_atpanic()","19"
"lua_atpanic","141a11030","thunk undefined lua_atpanic()","5"
"lua_call","14c9859f0","undefined lua_call()","72"
"lua_call","141a11050","thunk undefined lua_call()","5"
"lua_checkstack","14c985da0","undefined lua_checkstack()","151"
"lua_checkstack","141a110a0","thunk undefined lua_checkstack()","5"
"lua_close","14c9a5100","undefined lua_close()","126"
"lua_close","141a16810","thunk undefined lua_close()","5"
"lua_concat","14c986010","undefined lua_concat()","147"
"lua_concat","141a11140","thunk undefined lua_concat()","5"
"lua_cpcall","1489e59c0","int lua_cpcall(lua_State * L, lua_CFunction func, void * ud)","75"
"lua_cpcall","140bf2bd0","thunk int lua_cpcall(lua_State * L, lua_CFunction func, void * ud)","5"
"lua_createtable","14c986520","void lua_createtable(lua_State * L, int narr, int nrec)","103"
"lua_createtable","141a11210","thunk void lua_createtable(lua_State * L, int narr, int nrec)","5"
"lua_dump","14caa27a0","undefined lua_dump(undefined param_1, undefined param_2, undefined param_3, undefined param_4, undefined4 param_5)","141"
"lua_dump","141a25160","thunk undefined lua_dump(undefined param_1, undefined param_2, undefined param_3, undefined param_4, undefined4 param_5)","5"
"lua_error","14c986ea0","undefined lua_error()","16"
"lua_error","141a11330","thunk undefined lua_error()","5"
"lua_gc","141a11340","undefined lua_gc()","391"
"lua_getfenv","14c987110","undefined lua_getfenv()","113"
"lua_getfenv","141a114f0","thunk undefined lua_getfenv()","5"
"lua_getfield","14c987300","undefined lua_getfield()","102"
"lua_getfield","141a11570","thunk undefined lua_getfield()","5"
"lua_gethook","1484f0140","undefined lua_gethook()","5"
"lua_gethook","140b0bc60","thunk undefined lua_gethook()","5"
"lua_gethookcount","14095c060","undefined lua_gethookcount()","4"
"lua_gethookmask","14aa5c6b0","undefined lua_gethookmask()","5"
"lua_gethookmask","14142cde0","thunk undefined lua_gethookmask()","5"
"lua_getinfo","14ca993e0","undefined lua_getinfo()","239"
"lua_getinfo","141a20f50","thunk undefined lua_getinfo()","5"
"lua_getlocal","14ca99980","undefined lua_getlocal()","107"
"lua_getlocal","141a21040","thunk undefined lua_getlocal()","5"
"lua_getmetatable","14c9878c0","undefined lua_getmetatable()","88"
"lua_getmetatable","141a115e0","thunk undefined lua_getmetatable()","5"
"lua_getstack","14ca99b40","undefined lua_getstack()","122"
"lua_getstack","141a210b0","thunk undefined lua_getstack()","5"
"lua_gettable","14c987b90","undefined lua_gettable()","38"
"lua_gettable","141a11640","thunk undefined lua_gettable()","5"
"lua_getupvalue","14c9884b0","undefined lua_getupvalue()","155"
"lua_getupvalue","141a11680","thunk undefined lua_getupvalue()","5"
"lua_insert","14c9888d0","undefined lua_insert()","88"
"lua_insert","141a11720","thunk undefined lua_insert()","5"
"lua_iscfunction","141a11770","int lua_iscfunction(lua_State * L, int idx)","41"
